ID,CreatedAt,Phone,Net Model,Model Median,Model mAP,Delegate
wkFpJ7fofWJG4ORjHhBv,2024-09-14 17:37:40.340000+00:00,Motorola Razr 50 Ultra,MobileNetV3-small,9880807,15.4,CPU2
wkFpJ7fofWJG4ORjHhBv,2024-09-14 17:37:40.340000+00:00,Motorola Razr 50 Ultra,MobileNetV1,9019167,18.0,CPU2
yxSOlOWwMZInYhqMH54b,2024-09-10 19:48:37.771000+00:00,Samsung Galaxy S24,MobileNetV3-large,20224140,22.6,CPU5
yxSOlOWwMZInYhqMH54b,2024-09-10 19:48:37.771000+00:00,Samsung Galaxy S24,MobileNetV2,7504667,22.0,CPU5
yxSOlOWwMZInYhqMH54b,2024-09-10 19:48:37.771000+00:00,Samsung Galaxy S24,YoloV5s,232464492,36.7,CPU5
yxSOlOWwMZInYhqMH54b,2024-09-10 19:48:37.771000+00:00,Samsung Galaxy S24,MobileNetV3-small,11766054,15.4,CPU5
yxSOlOWwMZInYhqMH54b,2024-09-10 19:48:37.771000+00:00,Samsung Galaxy S24,MobileNetV1,12792422,18.0,CPU5
0qjY4tnNTBs3EXGFC3v0,2024-09-14 18:21:58.941000+00:00,Motorola Razr 50 Ultra,MobileNetV3-large,36235234,22.6,CPU6
0qjY4tnNTBs3EXGFC3v0,2024-09-14 18:21:58.941000+00:00,Motorola Razr 50 Ultra,MobileNetV2,12565703,22.0,CPU6
0qjY4tnNTBs3EXGFC3v0,2024-09-14 18:21:58.941000+00:00,Motorola Razr 50 Ultra,YoloV5s,202826067,36.7,CPU6
0qjY4tnNTBs3EXGFC3v0,2024-09-14 18:21:58.941000+00:00,Motorola Razr 50 Ultra,MobileNetV3-small,20923802,15.4,CPU6
0qjY4tnNTBs3EXGFC3v0,2024-09-14 18:21:58.941000+00:00,Motorola Razr 50 Ultra,MobileNetV1,19468151,18.0,CPU6
AJBWSvDK4gVjur2W0i1F,2024-09-14 13:20:29.952000+00:00,Samsung Galaxy S21,MobileNetV3-large,39549634,22.6,CPU4
AJBWSvDK4gVjur2W0i1F,2024-09-14 13:20:29.952000+00:00,Samsung Galaxy S21,MobileNetV2,9277365,22.0,CPU4
AJBWSvDK4gVjur2W0i1F,2024-09-14 13:20:29.952000+00:00,Samsung Galaxy S21,YoloV5s,359389980,36.7,CPU4
AJBWSvDK4gVjur2W0i1F,2024-09-14 13:20:29.952000+00:00,Samsung Galaxy S21,MobileNetV3-small,21251634,15.4,CPU4
AJBWSvDK4gVjur2W0i1F,2024-09-14 13:20:29.952000+00:00,Samsung Galaxy S21,MobileNetV1,16434057,18.0,CPU4
EthWnBErqB6chx1JGQyR,2024-09-14 12:53:55.270000+00:00,Samsung Galaxy S21,MobileNetV3-large,47362231,22.6,CPU2
EthWnBErqB6chx1JGQyR,2024-09-14 12:53:55.270000+00:00,Samsung Galaxy S21,MobileNetV2,10128076,22.0,CPU2
EthWnBErqB6chx1JGQyR,2024-09-14 12:53:55.270000+00:00,Samsung Galaxy S21,YoloV5s,524550596,36.7,CPU2
EthWnBErqB6chx1JGQyR,2024-09-14 12:53:55.270000+00:00,Samsung Galaxy S21,MobileNetV3-small,21816096,15.4,CPU2
EthWnBErqB6chx1JGQyR,2024-09-14 12:53:55.270000+00:00,Samsung Galaxy S21,MobileNetV1,19381365,18.0,CPU2
4pg6W5oouztoM24iCz7h,2024-09-15 10:59:36.768000+00:00,OnePlus 9 Pro,MobileNetV3-large,47953411,22.6,CPU1
4pg6W5oouztoM24iCz7h,2024-09-15 10:59:36.768000+00:00,OnePlus 9 Pro,MobileNetV2,8163958,22.0,CPU1
4pg6W5oouztoM24iCz7h,2024-09-15 10:59:36.768000+00:00,OnePlus 9 Pro,YoloV5s,544711041,36.7,CPU1
4pg6W5oouztoM24iCz7h,2024-09-15 10:59:36.768000+00:00,OnePlus 9 Pro,MobileNetV3-small,22777031,15.4,CPU1
4pg6W5oouztoM24iCz7h,2024-09-15 10:59:36.768000+00:00,OnePlus 9 Pro,MobileNetV1,16344453,18.0,CPU1
